name,name_ja,description,description_ja,image
need help,助けてください,,,help
I'm lost,迷っています,,,where
Where are we now?,ここはどこですか？,,,where
I lost my thing,落し物をしました,,,lost
I was sexually abused,性的被害を受けました,,,sexually abused
I had my thing stolen,盗まれました,,,stolen
