name,name_ja,image
Water,水,Water
milk,ミルク,milk
tea,お茶,tea
green tea,緑茶,green tea
coffee,コーヒー,coffee
juice,ジュース,juice
coke,コーラ,coke
beer,ビール,beer
wine,ワイン,wine
cocktail,カクテル,cocktail
