food_type,name,name_ja,image
fruit,apple,りんご,apple
fruit,orange,みかん,orange
fruit,lemon,レモン,lemon
fruit,grape,ぶどう,grape
fruit,mascato,マスカット,mascato
fruit,banana,バナナ,banana
fruit,peach,もも,peach
fruit,strawberry,いちご,strawberry
fruit,blueberry,ブルーベリー,blueberry
fruit,rasberry,ラズベリー,rasberry
fruit,watermelon,スイカ,watermelon
fruit,kiwi,キウイ,kiwi
