name,name_ja,description,description_ja,image
glad,嬉しい,,,glad
favorite,好き,,,favorite
little lonley,すこし寂しい,,,little lonley
goody,わーい！,,,goody
are you angry?,怒っていますか？,,,are you angry?
don't worry,気にしないで,,,don't worry
joyful,楽しい,,,joyful
love,好き,,,love
hate,嫌い,,,hate
really?,本当？,,,really?
scared,驚いた,,,scared
i'll do my best,頑張る,,,i'll do my best
regretful,悔しい,,,regretful
take care,気をつけてね,,,take care
sad,悲しい,,,sad
