name,name_ja,image
rice,ご飯,rice
chicken,チキン,chicken
kushikatsu,串カツ,kushikatsu
onigiri,おにぎり,onigiri
salad,サラダ,salad
sushi,寿司,sush
wasabi,わさび,wasabi
crab,カニ,crab
fried rice,炒飯,fried-rice
meat ball,ミートボール,meat-ball
sashimi,刺身,sashimi
takoyaki,たこ焼き,takoyaki
gyoza,餃子,gyoza
soup,スープ,soup
ramen,ラーメン,ramen
somen,素麺,somen
curry,カレー,curry
noodles,麺類,noodles
steamed_fish,お魚,steamed_fish
tempura,天ぷら,tempura
