name,name_ja,image
relax,リラックス,relax
yoga,ヨガ,yoga
reading,読書,reading
movie,映画,movie
tv,テレビ,tv
radio,ラジオ,radio
karaoke,カラオケ,karaoke
shopping,買い物,shopping
cooking,料理,cooking
BBQ,バーベキュー,bbq
camping,キャンプ,camping
travel,旅行,travel
walk,散歩,walk
hiking,ハイキング,hiking
excercise,運動,excercise
