name,name_ja,image
pizza,ピザ,pizza
olives,オリーブ,olives
gnocchi,ニョッキ,gnocchi
antipasti,前菜,antipasti
capellini,カッペリーニ,capellini
ciabatta,チャバタ,ciabatta
gelato,ジェラート,gelato
